nutrition_id,food_id,nutrient,significance,health_implication,source
1,1,Monounsaturated fat (oleic acid ~73% of fat),Exceptional source,Primary fatty acid in EVOO; raises HDL (good) cholesterol and reduces LDL oxidation — oxidised LDL is the form that accumulates in artery walls. Supports heart health and is thought to underlie much of EVOO's cardiovascular benefit.,"USDA FoodData Central FDC #748608 (Olive oil, salted)"
2,1,Polyphenols (up to 500 mg/kg in high-quality Cretan EVOO),Functional content,Anti-inflammatory and antioxidant; the polyphenol concentration is what distinguishes high-quality Cretan EVOO from commodity olive oil. Oleocanthal inhibits COX-1/COX-2 enzymes (same as ibuprofen); hydroxytyrosol is among the most potent natural antioxidants known.,"EFSA (2011) health claim regulation (EU 432/2012) minimum 5 mg hydroxytyrosol+derivatives per 20 g EVOO; Cretan EVOO polyphenol range from study_id=1,2 in DB (Noce 2021; Esposito 2025 review)"
3,1,Vitamin E (tocopherols ~14 mg/100g),Excellent source,"Fat-soluble antioxidant that protects cell membranes from oxidative damage. Works synergistically with EVOO's polyphenols. Contributes to skin health, immune function, and protection of LDL cholesterol from oxidation.","USDA FoodData Central FDC #748608 (Olive oil, salted)"
4,1,Vitamin K (~55 μg/100g),Good source,Essential for blood clotting cascade and for activating proteins that direct calcium into bones rather than artery walls. Regular consumption contributes meaningfully to daily vitamin K requirements.,"USDA FoodData Central FDC #748608 (Olive oil, salted)"
5,2,Vitamin C (~48 mg/100g),Excellent source,"Immune system function, collagen synthesis for skin and connective tissue, and iron absorption enhancer. Also a water-soluble antioxidant. A 100g serving provides over 50% of daily requirements.",Petropoulos et al. (2016) Food Chemistry — nutritional composition of C. spinosum; values consistent with Ntatsi et al. (2020) J Sci Food Agric
6,2,Vitamin K1,Good source,"Essential for blood clotting and bone mineralisation. Activates osteocalcin, the protein that binds calcium into bone matrix. Regular intake supports long-term bone density.",Petropoulos et al. (2019) Foods — phytochemical and nutritional profile of C. spinosum
7,2,Beta-carotene (provitamin A),Good source,"Converted to vitamin A in the body; essential for eye health (night vision), immune function, and skin integrity. A potent antioxidant in its own right — helps neutralise free radicals in tissues.",Petropoulos et al. (2016) Food Chemistry; Chatzigianni et al. (2019) J Sci Food Agric
8,2,Lutein and zeaxanthin,Notable amount,"Carotenoids that accumulate specifically in the macula of the eye, where they act as a natural filter against harmful blue light and oxidative damage. Associated with reduced risk of age-related macular degeneration and cataracts.",Chatzigianni et al. (2019) J Sci Food Agric — carotenoid profile of Cichorium spinosum ecotypes
9,2,Alpha-linolenic acid / ALA (plant omega-3),Notable amount,"Plant-derived omega-3 fatty acid; precursor to EPA and DHA. Anti-inflammatory, cardiovascular-protective, and contributes to cell membrane health. Wild-foraged stamnagathi contains more ALA than commercially grown varieties.",Petropoulos et al. (2016) Food Chemistry — fatty acid profile of C. spinosum
10,2,Iron,Good source,"Essential for haemoglobin synthesis and oxygen transport to cells. Iron deficiency is the world's most common nutritional deficiency; stamnagathi as a regular dietary green contributes to iron intake, particularly when consumed with vitamin C (which enhances absorption).",Petropoulos et al. (2016) Food Chemistry; Ntatsi et al. (2020) J Sci Food Agric
11,2,Calcium,Good source,"Bone density, muscle contraction, nerve signal transmission, and blood clotting. Regular consumption of calcium-rich greens like stamnagathi supports skeletal health, particularly important in the context of a Mediterranean diet lower in dairy than northern European diets.",Petropoulos et al. (2016) Food Chemistry; Ntatsi et al. (2020) J Sci Food Agric
