food_id,goal_id,evidence_strength,subcategory,notes
1,1,3,antioxidant,"RCT (Noce 2021) + review (Esposito 2025); oleocanthal and hydroxytyrosol mechanisms well-characterised"
1,2,3,cholesterol;blood_pressure;circulation,"PREDIMED and Harvard cohort data; 15–30% CV event reduction"
1,3,2,microbiome,"CKD RCT (Noce 2021) showed gut-related inflammatory marker improvement; human crossover RCT (Martin-Pelaez 2015 n=12): PC-enriched VOO significantly increased faecal bifidobacteria and hydroxytyrosol metabolites; 2025 comprehensive review (Barrera-Chamorro) confirms VOO polyphenols promote Lactobacillus/Bifidobacterium growth and SCFA production via gut-brain axis"
1,4,3,metabolic_longevity;neuroprotection,"Three converging high-quality lines of evidence: Guasch-Ferré 2022 (JACC, n=92,383 NHS+HPFS, 28-year follow-up): all-cause mortality HR 0.81 (95% CI 0.78–0.84) for >0.5 tbsp/day, CVD mortality −19%, cancer mortality −17%, neurodegenerative disease mortality −29%, respiratory mortality −18%; Martinez-Gonzalez 2022 meta-analysis (36 studies, 733,420 participants, 174,081 deaths): all-cause mortality RR 0.89 per 25 g/day; Xia 2022 meta-analysis (13 cohorts): all-cause mortality RR 0.83 highest vs lowest with non-linear plateau at ~20 g/day; Zhang 2021 (n=521,120 NIH-AARP, 16-year follow-up): HR 0.96 per tbsp/day cardiometabolic mortality. EVOO is the only single food with this scale of mortality evidence across multiple independent mega-cohorts in different populations."
4,6,3,cognitive;stress,"DB-RCT (Wightman 2018) n=155; reduced state anxiety and improved cognitive accuracy vs placebo and Ginkgo"
4,4,2,neuroprotection,"Animal Alzheimer model (Hofrichter 2016) showed Aβ42 reduction and neuronal rescue; human longevity evidence indirect"
4,2,2,blood_pressure,"Small RCT (Papanikolaou 2024) n=28; systolic BP −10.8 mmHg and HR reduction confirmed in humans"
4,5,2,vitality;liver,"Small RCT (Papanikolaou 2024); VO₂max improvement and liver enzyme reduction; metabolic mechanism via AMPK activation (animal data)"
4,1,2,antioxidant,"Small RCT (Papanikolaou 2024) antioxidant capacity ↑ and lipid peroxidation ↓; mechanistic support from verbascoside NF-κB binding"
6,1,3,joint,"DB-RCT (Karimi 2024) n=86; pain VAS halved, DAS28 reduced, hs-CRP and TNF-α significantly decreased in RA patients"
6,2,3,cholesterol,"Meta-analysis of T2DM RCTs (Guo 2024); TC −17.75 mg/dL, TG −21.30 mg/dL, LDL −6.10 mg/dL, HDL +6.17 mg/dL"
6,5,3,vitality,"Meta-analysis of T2DM RCTs (Guo 2024); FBG −15.01 mg/dL; ALA mechanism supports glucose and lipid metabolism"
6,3,2,motility,"DB-RCT (Bang 2022) n=60; colonic transit time shortened, bowel frequency improved in functional constipation"
6,4,2,antioxidant;cellular,"RA RCT (Karimi 2024) showed systemic antioxidant capacity increase; indirect longevity link via chronic inflammation reduction"
5,2,2,circulation;cholesterol,"Observational meta-analyses (Zhang 2023; Zhuang 2025); cheese category evidence extrapolated to Graviera; CVD RR=0.92; stroke RR=0.93"
5,4,2,cellular,"Umbrella review (Zhang 2023); all-cause mortality RR=0.95 and dementia RR=0.81; observational evidence only"
5,6,2,cognitive,"Umbrella review (Zhang 2023); dementia RR=0.81; observational; mechanism via vitamin K2 and ACE-inhibitory peptides"
5,3,1,microbiome,"In vitro only (Zoumpopoulou 2018); L. plantarum from Graviera shows gut epithelial adhesion and IL-10 upregulation — not yet validated in humans"
5,1,1,immune,"In vitro only (Zoumpopoulou 2018); IL-10 upregulation and anti-inflammatory modulation in macrophage assay — not yet validated in humans"
3,1,2,antioxidant;immune,"Human RCT (Jahanbani Mazraeh 2023) n=110: thyme honey oral gel reduced chemotherapy-induced oral mucositis incidence, duration, and onset; in vitro biofilm inhibition vs S. aureus and A. baumannii (Nazzaro 2024); mechanistic support from thymol membrane disruption and polyphenol NF-κB suppression"
3,2,1,cholesterol,"Animal model only (Lafraxo 2021): thyme honey + EVOO combination normalised lipid profiles and hepatic/renal oxidative markers in T1DM rats — honey contribution not isolatable from EVOO; no direct human cardiovascular RCT evidence for thyme honey"
3,3,1,microbiome,In vitro only (Nazzaro 2024): thyme honey stimulated L. rhamnosus growth (+11.48%) and enhanced probiotic hydroxyl radical scavenging (OHRS 65.8%) — prebiotic potential not validated in human or animal models
3,5,1,liver,"Animal model only (Lafraxo 2021): combined thyme honey + EVOO halved blood glucose (318→159 mg/dL) and normalised metabolic markers in T1DM rats — combination treatment prevents attribution to honey alone; no human metabolic evidence"
2,4,1,cellular;neuroprotection,"In vitro neuronal cell culture (Chalatsa 2018): C. spinosum extract reduced tau hyperphosphorylation and promoted non-amyloidogenic APP processing in AD models; Drosophila model (Mikropoulou 2024): proteostasis network modulation — no human or mammalian animal evidence"
2,6,1,cognitive;neuroprotection,In vitro only (Chalatsa 2018): C. spinosum extract blocked both AD pathological hallmarks (tau tangles and amyloid plaques) in neuronal cell culture — mechanistically relevant to cognitive decline prevention but not yet validated beyond cell models
2,1,1,antioxidant,"In vitro only (Stagos 2018): C. spinosum increased GSH +10.5% and reduced ROS −15.6% in human endothelial cells; (Brieudes 2016): Cretan decoction significantly reduced intracellular ROS in human fibroblasts; cichoric acid and caftaric acid are potent antioxidants"
2,2,1,circulation,In vitro only (Stagos 2018): C. spinosum extract protected human vascular endothelial cells from oxidative stress via GSH elevation and ROS reduction — relevant to endothelial function but not yet validated in cardiovascular animal or human models
1,6,2,cognitive;neuroprotection,"PREDIMED-NAVARRA RCT (Martínez-Lapiscina 2013) n=522 over 6.5yr: MedDiet+EVOO showed MMSE +0.62 (p=0.005) and CDT +0.51 (p=0.001) vs low-fat control; EVOO effect not fully isolated from full MedDiet intervention"
6,6,1,cognitive;neuroprotection,"Multiple animal models: oleracein E (Wang 2016) improved spatial memory and lifespan in senescent mice comparably to piracetam; betacyanins (Wang 2009) ameliorated D-galactose-induced cognition deficits and restored brain antioxidant enzymes; all animal studies only — no human trials conducted to date"
7,1,1,antioxidant,"In vitro (Mitropoulou 2015): EO effective against S. aureus, E. coli, Listeria, Salmonella, and fungi via carvacrol-mediated membrane disruption; DPPH antioxidant IC50 0.045%; rosmarinic acid and flavonoids (apigenin, quercetin, kaempferol) contribute NF-kB inhibitory anti-inflammatory activity"
7,3,1,digestion;motility,"Ex vivo organ bath (Paloukopoulou 2026): traditional dittany infusion demonstrated spasmolytic activity in isolated rabbit jejunum and colon — modulated both phasic and tonic intestinal contractions; four novel flavone glycosides characterised; mechanistically supports traditional Cretan use as a post-meal digestive herb"
7,6,1,cognitive,"In vitro/in silico (Amato 2025): dittany EO inhibited AChE and BuChE — enzymes whose excess activity contributes to Alzheimers disease and cognitive decline; carvacrol and p-cymene confirmed by molecular docking to bind AChE active site"
7,5,1,postprandial,"In vitro (Amato 2025): dittany EO inhibited alpha-glucosidase (intestinal starch-digesting enzyme that determines post-prandial glucose release) and lipase with mixed-inhibition kinetics; consistent with potential blood glucose and lipid metabolism modulation; not yet validated in vivo"
8,2,2,cholesterol,"Multiple RCTs: Zunft 2003 (n=58, DB-RCT): LDL −10.5% (p=0.010); Ruiz-Roso 2010 (n=88, DB-RCT): LDL −22.5% (p<0.001), total chol −17.8%, TG −16.3%; Planes-Munoz 2025 (n=72, RCT): total chol −14.68 mg/dL — mechanism via condensed tannins binding bile acids and reducing LDL synthesis"
8,5,2,postprandial,"RCT (Planes-Munoz 2025 n=72): commercial carob syrup produced low GI (56-60) and attenuated postprandial glucose response by 16% vs glucose load; 6-week intervention: waist circumference −3.58 cm (p<0.05); D-pinitol proposed as key insulin-sensitising mechanism; all hypercholesterolaemic or healthy adult populations"
9,1,3,antioxidant,"Meta-analysis of 19 clinical trials (Kazemi 2025): IL-6 significantly reduced — pooled SMD −0.58 (95% CI −0.98 to −0.19); ICAM-1 significantly reduced — SMD −0.63 (95% CI −0.85 to −0.40, I²=0%); mechanisms via punicalagin-derived urolithins and anthocyanin NF-κB suppression"
9,2,3,blood_pressure,"Meta-analysis of 8 RCTs (Sahebkar 2016): pomegranate juice significantly reduced SBP −4.96 mmHg (95% CI −7.67 to −2.25; p<0.001) and DBP −2.01 mmHg (p=0.021); effect maintained across doses and durations; mechanism via nitric oxide pathway enhancement and ACE-inhibitory polyphenols"
10,2,2,cholesterol,"DB-RCT (Panahi 2018, n=90 NAFLD patients, ALE 600mg/day, 2 months): total cholesterol, LDL, non-HDL, and TG all significantly reduced (p=0.01); hepatic vein flow improved, portal vein diameter and liver size reduced (p<0.001); mechanism via cynarin-mediated bile acid synthesis drawing down LDL"
10,5,2,liver,"DB-RCT (Panahi 2018, n=90 NAFLD): ALT reduced (p<0.001), AST reduced (p<0.001), AST/ALT ratio and APRI score improved (p<0.01), total bilirubin reduced — comprehensive liver function improvement; specific NAFLD population limits generalisability to healthy adults"
11,2,2,blood_pressure;cholesterol,"DB crossover RCT (Lockyer 2016, n=60 pre-hypertensive males, 136mg oleuropein, 6-week arms): daytime SBP −3.95 mmHg (p=0.027), 24-h SBP −3.33 mmHg (p=0.045), DBP −3.00 mmHg (p=0.025); TC −0.32 mmol/L (p=0.002); LDL −0.19 mmol/L (p=0.017); TG −0.18 mmol/L (p=0.008)"
11,1,2,antioxidant,"DB crossover RCT (Lockyer 2016, n=60): IL-8 significantly reduced −0.63 pg/mL (p=0.026) vs polyphenol-free control; other inflammatory markers (CRP, TNF-α) not significantly changed; mechanism via hydroxytyrosol-mediated NF-κB and COX-2 suppression"
12,2,3,cholesterol,"Three independent meta-analyses confirm barley beta-glucan cholesterol lowering: Ho 2016 (14 RCTs, N=615): LDL-C −0.25 mmol/L, non-HDL-C −0.31 mmol/L; AbuMweis 2010 (11 RCTs): TC −0.30 mmol/L, LDL −0.27 mmol/L; Talati 2009 (8 RCTs): TC −13.38 mg/dL, LDL −10.02 mg/dL, TG −11.83 mg/dL; mechanism via bile acid trapping by intestinal viscous gel; FDA health claim at 3g/day"
13,2,3,cholesterol;blood_pressure,"Mega meta-analysis of 108 RCTs (Behrouz 2026, n=7137): TC −10.21 mg/dL; LDL −5.90 mg/dL; TG −5.82 mg/dL; HDL +2.18 mg/dL; SBP −3.71 mmHg; DBP −1.97 mmHg; effects confirmed across multiple preparation types (raw, aged, powder, extract); umbrella review (Schwingshackl 2015) of 8-9 independent meta-analyses confirms consistent direction of effect"
13,1,3,antioxidant;immune,"Meta-analysis of 108 RCTs (Behrouz 2026): CRP −1.6 mg/L (95% CI −2.38 to −0.82); TNF-α −3.94 pg/mL (95% CI −5.17 to −2.72); TAC increased; MDA decreased; oxidative stress and inflammatory markers consistently improved; mechanism via allicin-mediated NF-κB suppression and organosulfur compound antioxidant activity"
13,5,3,vitality,"Meta-analysis of 108 RCTs (Behrouz 2026): fasting blood glucose −2.77 mg/dL (95% CI −5.25 to −0.28); insulin −1.74 mU/L (95% CI −2.26 to −1.22); HOMA-IR −0.37 (95% CI −0.59 to −0.15); confirmed by metabolic syndrome meta-analysis (Varade 2023); garlic appears to improve insulin sensitivity via allicin-mediated PI3K/Akt pathway activation"
14,2,2,cholesterol,"Meta-analysis of 9 RCTs (James-Martin 2022, n=503): overall TC −5.08 mg/dL (p=0.02); in hypercholesterolaemic subgroup: LDL-C −9.4 mg/dL (p<0.00001) and TC −7.54 mg/dL (p<0.00001); no negative effect on body weight; mechanism via oleic acid MUFA substitution and beta-sitosterol intestinal cholesterol absorption inhibition; certainty of evidence graded low to very low"
15,2,1,cholesterol,"Extrapolated from EVOO/hydroxytyrosol evidence (PREDIMED, Zhang 2021) via demonstrated bioavailability: table olives contain 8x higher free HT per gram than EVOO (DAntuono 2018); HT bioavailability from olive products confirmed in crossover RCT (Bender 2023, n=12, plasma peak at 30 min); direct RCT for table olive cardiovascular outcomes does not exist — evidence is indirect via shared active compounds; honest classification: early research / bioavailability established"
15,1,1,antioxidant,"Hydroxytyrosols antioxidant and NF-κB inhibitory activity is well-established in vitro; the same mechanisms documented for EVOO polyphenols apply; table olives deliver HT at higher concentrations per gram than EVOO; human bioavailability confirmed; no direct RCT on inflammatory outcomes for table olive consumption specifically; evidence_strength=1 (early research — mechanistic and bioavailability data, clinical endpoints extrapolated)"
16,2,2,cholesterol,"Meta-analysis of 7 RCTs (Pourrajab 2019, n=274 hypercholesterolaemic adults): TC −8.73 mg/dL (95% CI −15.98 to −1.48); LDL-C −10.61 mg/dL (95% CI −16.53 to −4.69); low heterogeneity (I²<41%); mechanism: bile salt hydrolase activity of L. acidophilus deconjugates bile acids forcing LDL → bile acid conversion in liver; note: evidence specifically for probiotic yoghurt in hypercholesterolaemic populations — Cretan sheep/goat yoghurt shares the probiotic mechanism"
